T08,"Teaching staff at the primary, secondary and tertiary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
21,Northern America,2010,Pupil-teacher ratio in primary education,13.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2010,Teachers at secondary level (thousands),"1,898",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2010,Pupil-teacher ratio in secondary education,14.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2010,Teachers at tertiary level (thousands),"1,638",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2015,Teachers at primary level (thousands),"1,847",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2015,Pupil-teacher ratio in primary education,14.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2015,Teachers at secondary level (thousands),"1,803",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2015,Pupil-teacher ratio in secondary education,15.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2015,Teachers at tertiary level (thousands),"1,767",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2016,Teachers at primary level (thousands),"1,853",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2016,Pupil-teacher ratio in primary education,14.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2016,Teachers at secondary level (thousands),"1,795",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2016,Pupil-teacher ratio in secondary education,15.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2016,Teachers at tertiary level (thousands),"1,734",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2005,Teachers at primary level (thousands),"2,935",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2005,Pupil-teacher ratio in primary education,23.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2005,Teachers at secondary level (thousands),"3,469",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2005,Pupil-teacher ratio in secondary education,17.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2005,Teachers at tertiary level (thousands),"1,227",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2010,Teachers at primary level (thousands),"2,908",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2010,Pupil-teacher ratio in primary education,23.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2010,Teachers at secondary level (thousands),"3,542",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2010,Pupil-teacher ratio in secondary education,17.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2010,Teachers at tertiary level (thousands),"1,658",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2015,Teachers at primary level (thousands),"2,991",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2015,Pupil-teacher ratio in primary education,21.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2015,Teachers at secondary level (thousands),"3,912",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2015,Pupil-teacher ratio in secondary education,16.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2015,Teachers at tertiary level (thousands),"1,779",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2016,Teachers at primary level (thousands),"2,987",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2016,Pupil-teacher ratio in primary education,21.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2016,Teachers at secondary level (thousands),"3,900",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2016,Pupil-teacher ratio in secondary education,16.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
419,Latin America & the Caribbean,2016,Teachers at tertiary level (thousands),"1,865",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
30,Eastern Asia,2005,Teachers at primary level (thousands),"6,683",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
30,Eastern Asia,2005,Pupil-teacher ratio in primary education,18.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
30,Eastern Asia,2005,Teachers at secondary level (thousands),"6,495",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
30,Eastern Asia,2005,Pupil-teacher ratio in secondary education,17.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
30,Eastern Asia,2005,Teachers at tertiary level (thousands),"2,179",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
30,Eastern Asia,2010,Teachers at primary level (thousands),"6,656",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
30,Eastern Asia,2010,Pupil-teacher ratio in primary education,17.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
30,Eastern Asia,2010,Teachers at secondary level (thousands),"7,431",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
30,Eastern Asia,2010,Pupil-teacher ratio in secondary education,15.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
30,Eastern Asia,2010,Teachers at tertiary level (thousands),"2,405",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
30,Eastern Asia,2012,Teachers at primary level (thousands),"6,574",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
